"BrainRegion","RValue","RSquared","PValue","AdjustedRSquared","DeltaAdjRSquared"
"bold_AAL_Frontal_Sup_L_t1t2ratio",-94741.2396405088,0.00209664174566025,0.811025807059185,-0.00552094114177737,-0.0487158175781646
"bold_AAL_Frontal_Sup_R_t1t2ratio",-1244534.12466498,0.00638778061439353,0.125514472996825,-0.00119704548778654,-0.0443919219241737
"bold_AAL_Frontal_Sup_Orb_L_t1t2ratio",-0.0888040494686335,0.00273096566718428,0.908654057888466,-0.00488177505291354,-0.0480766514893007
"bold_AAL_Frontal_Sup_Orb_R_t1t2ratio",-0.101322165603826,0.107553998012309,0.430938065525298,0.10074143311164,0.0575465566752527
"bold_AAL_Frontal_Mid_L_t1t2ratio",13669.9358567197,0.00412517710701152,0.227286320566069,-0.0034769207776677,-0.0466717972140549
"bold_AAL_Frontal_Mid_R_t1t2ratio",0.0221333264836532,0.0250658206543317,0.916283705037089,0.0176235750104717,-0.0255713014259155
"bold_AAL_Frontal_Mid_Orb_L_t1t2ratio",0.0460957993711282,0.055867504121759,0.789472345740794,0.0486603858326122,0.00546550939622503
"bold_AAL_Frontal_Mid_Orb_R_t1t2ratio",0.333919053799003,0.0141238346102347,0.459944652589664,0.0065980623553511,-0.0365968140810361
"bold_AAL_Frontal_Inf_Oper_L_t1t2ratio",-0.544661582312892,0.00472722120284907,0.42137525111449,-0.00287028092537334,-0.0460651573617605
"bold_AAL_Frontal_Inf_Oper_R_t1t2ratio",-0.200095648252516,0.0559832867759758,0.225894657186667,0.0487770523238842,0.00558217588749699
"bold_AAL_Frontal_Inf_Tri_L_t1t2ratio",-0.402839499286121,0.0238612319197477,0.117940925957581,0.016409790942036,-0.0267850854943512
"bold_AAL_Frontal_Inf_Tri_R_t1t2ratio",-0.57351612319269,0.00519363334789132,0.598950466484675,-0.00240030838227723,-0.0455951848186644
"bold_AAL_Frontal_Inf_Orb_L_t1t2ratio",-0.189779038225696,0.0388892896048672,0.259487527493411,0.0315525666247518,-0.0116423098116354
"bold_AAL_Frontal_Inf_Orb_R_t1t2ratio",-0.0525586619764604,0.122432608312087,0.670215307378693,0.115733620589279,0.0725387441528919
"bold_AAL_Frontal_Sup_Medial_L_t1t2ratio",-162.41986684315,0.00377747087716411,0.2379007487998,-0.00382728125354448,-0.0470221576899317
"bold_AAL_Frontal_Sup_Medial_R_t1t2ratio",-491.221495188878,0.00390261917472652,0.234608880012851,-0.00370117762546629,-0.0468960540618535
"bold_AAL_Frontal_Med_Orb_L_t1t2ratio",-0.162211575808067,0.00115466375153028,0.664274957926476,-0.00647010980761831,-0.0496649862440055
"bold_AAL_Frontal_Med_Orb_R_t1t2ratio",1.25956955758904,0.0439321469651061,0.0113069019426018,0.0366339190793437,-0.00656095735704354
